time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
12891,13.788055499999999,840,232,55,0.05,15.76,12690,0.013586798682808876,0.0005
12954,13.779999949999999,844,234,55,0.05,15.75,12753,0.02732796221971512,0.0005
13017,13.772777740000002,848,235,55,0.05,15.74,12816,0.0036857984960079193,0.0005
13081,13.77472219,852,236,55,0.05,15.74,12880,0.01430659368634224,0.0005
13145,13.77666665,856,237,55,0.05,15.74,12944,0.0024969486985355616,0.0005
13209,13.776666670000003,860,238,55,0.05,15.74,13008,0.0076608131639659405,0.0005
13274,13.82305555,864,239,55,0.05,15.79,13073,0.0036402984987944365,0.0005
13338,13.83916667,868,240,55,0.05,15.81,13137,0.02771858684718609,0.0005
13397,13.823333329999995,872,241,55,0.05,15.79,13196,0.002067121211439371,0.0005
13459,13.8061111,876,243,55,0.05,15.77,13258,0.04415587708353996,0.0005
13520,13.784444430000002,880,244,55,0.05,15.74,13319,0.009628335945308208,0.0005
13583,13.798611090000001,884,245,55,0.05,15.75,13382,0.002450375584885478,0.0005
13642,13.760555530000001,888,246,55,0.05,15.71,13441,0.03770761936903,0.0005
13704,13.753333309999999,892,247,55,0.05,15.7,13503,0.0031756688840687275,0.0005
13768,13.749999979999998,896,248,55,0.05,15.7,13567,0.0037654326297342777,0.0005
13832,13.755555549999999,900,249,55,0.05,15.71,13631,0.014165198430418968,0.0005
13895,13.740833330000001,904,250,55,0.05,15.69,13694,0.003181932494044304,0.0005
13957,13.739444440000002,908,251,55,0.05,15.68,13756,0.002778823021799326,0.0005
14021,13.740000010000001,912,253,55,0.05,15.68,13820,0.01421827170997858,0.0005
14085,13.73166666,916,254,55,0.05,15.67,13884,0.02170807309448719,0.0005
14147,13.761666660000001,920,255,55,0.05,15.7,13946,0.019867902621626854,0.0005
14210,13.780277770000003,924,256,55,0.05,15.71,14009,0.0028007582295686007,0.0005
14274,13.817500009999998,928,257,55,0.05,15.75,14073,0.010223634541034698,0.0005
14337,13.803888900000002,932,258,55,0.05,15.74,14136,0.0073550911620259285,0.0005
14401,13.798333350000002,936,260,55,0.05,15.74,14200,0.010868928395211697,0.0005
14461,13.769444469999998,940,261,55,0.05,15.7,14260,0.003783704712986946,0.0005
14523,13.76416669,944,262,55,0.05,15.69,14322,0.0037938072346150875,0.0005
14587,13.77555559,948,263,55,0.05,15.7,14386,0.007387532386928797,0.0005
14644,13.71333336,952,264,55,0.05,15.63,14443,0.010182677768170834,0.0005
14705,13.69055557,956,265,55,0.05,15.6,14504,0.060044653713703156,0.0005
14756,13.57444444,960,266,55,0.05,15.47,14555,0.00594991585239768,0.0005
14816,13.54583333,964,267,55,0.05,15.42,14615,0.007102665491402149,0.0005
14880,13.54611111,968,268,55,0.05,15.42,14679,0.008282129652798176,0.0005
14939,13.543611119999998,972,269,55,0.05,15.42,14738,0.022606031969189644,0.0005
15004,13.57194447,976,270,55,0.05,15.45,14803,0.003158878069370985,0.0005
15068,13.59166669,980,271,55,0.05,15.48,14867,0.05087749660015106,0.0005
15128,13.56388892,984,273,55,0.05,15.45,14927,0.0036591857206076384,0.0005
15190,13.591388929999999,988,274,55,0.05,15.48,14989,0.004060002043843269,0.0005
15253,13.60694448,992,275,55,0.05,15.49,15052,0.0373862124979496,0.0005
15316,13.60277781,996,276,55,0.05,15.48,15115,0.014897205866873264,0.0005
15380,13.602500029999998,1000,277,55,0.05,15.48,15179,0.0021320893429219723,0.0005
15440,13.571388910000001,1004,278,55,0.05,15.45,15239,0.0036726698745042086,0.0005
15502,13.57694447,1008,279,55,0.05,15.45,15301,0.001047448837198317,0.0005
15566,13.577500010000001,1012,280,55,0.05,15.45,15365,0.015691658481955528,0.0005
15628,13.556666680000001,1016,281,55,0.05,15.43,15427,0.002924411091953516,0.0005
15691,13.568888909999998,1020,282,55,0.05,15.44,15490,0.0035580387338995934,0.0005
15755,13.577777809999997,1024,283,55,0.05,15.45,15554,0.002647584769874811,0.0005
15817,13.556666700000001,1028,285,55,0.05,15.43,15616,0.003652390791103244,0.0005
15881,13.575555589999999,1032,286,55,0.05,15.44,15680,0.006226055324077606,0.0005
15943,13.563888929999996,1036,287,55,0.05,15.42,15742,0.005318083800375462,0.0005
16005,13.58250004,1040,288,55,0.05,15.44,15804,0.028958819806575775,0.0005
16067,13.58361115,1044,289,55,0.05,15.44,15866,0.0017247858922928572,0.0005
16130,13.574444469999996,1048,290,55,0.05,15.43,15929,0.008103890344500542,0.0005
16190,13.59972225,1052,291,55,0.05,15.46,15989,0.0017390054417774081,0.0005
16253,13.616944479999997,1056,292,55,0.05,15.48,16052,0.010534732602536678,0.0005
16315,13.717500050000002,1060,293,55,0.05,15.59,16114,0.0065103014931082726,0.0005
16378,13.73666672,1064,294,55,0.05,15.62,16177,0.015976741909980774,0.0005
16441,13.72750004,1068,295,55,0.05,15.61,16240,0.028038443997502327,0.0005
16504,13.769722259999998,1072,296,55,0.05,15.65,16303,0.024463683366775513,0.0005
16566,13.746388910000002,1076,297,55,0.05,15.62,16365,0.005663087125867605,0.0005
16628,13.72805558,1080,299,55,0.05,15.6,16427,0.004713878966867924,0.0005
16690,13.74694446,1084,300,55,0.05,15.62,16489,0.000533022393938154,0.0005
16749,13.72500002,1088,301,55,0.05,15.59,16548,0.0019546214025467634,0.0005
16806,13.661111130000002,1092,302,55,0.05,15.53,16605,0.019270919263362885,0.0005
16865,13.62222223,1096,303,55,0.05,15.49,16664,0.0043828911148011684,0.0005
16929,13.621388899999998,1100,304,55,0.05,15.49,16728,0.004073751624673605,0.0005
16993,13.666944449999999,1104,305,55,0.05,15.53,16792,0.002201490104198456,0.0005
17056,13.666666670000001,1108,306,55,0.05,15.54,16855,0.006956976372748613,0.0005
17119,13.661666680000002,1112,307,55,0.05,15.53,16918,0.0014764611842110753,0.0005
17182,13.671111139999999,1116,308,55,0.05,15.54,16981,0.0016862681368365884,0.0005
17242,13.63583336,1120,309,55,0.05,15.51,17041,0.008764781057834625,0.0005
